RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),MARKET VALUE,EMPLOYEES,CHANGE IN RANK,CEO GENDER,Sector,City,STATE,YEAR
29,Bank of America,"93,753.00",-17.5,"17,894.00",-34.8,"2,819,627.00","333,788.40",212505,-4,male,Financials,Charlotte,North Carolina,2021
30,Target,"93,561.00",19.8,"4,368.00",33.1,"51,248.00","98,760.90",409000,7,male,Retailing,Minneapolis,Minnesota,2021
31,Lowe's,"89,597.00",24.2,"5,835.00",36.3,"46,735.00","136,407.90",280000,13,male,Retailing,Mooresville,North Carolina,2021
32,Marathon Petroleum,"88,952.00",-28.7,"-9,826.00",-472.6,"85,158.00","34,873.80",57900,-10,male,Energy,Findlay,Ohio,2021
33,Citigroup,"88,839.00",-14.1,"11,047.00",-43.1,"2,260,090.00","151,806.40",210153,-2,female,Financials,New York City,New York,2021
34,Meta Platforms,"85,965.00",21.6,"29,146.00",57.7,"159,316.00","838,724.20",58604,12,male,Technology,Menlo Park,California,2021
35,UPS,"84,628.00",14.2,"1,343.00",-69.8,"62,408.00","147,791.60",408255,8,female,Transportation,Atlanta,Georgia,2021
36,Johnson & Johnson,"82,584.00",0.6,"14,714.00",-2.7,"174,894.00","432,685.30",134500,-1,male,Health Care,New Brunswick,New Jersey,2021
37,Wells Fargo,"80,303.00",-22.7,"3,301.00",-83.1,"1,955,163.00","161,521.00",268531,-7,male,Financials,San Francisco,California,2021
38,General Electric,"79,619.00",-16.4,"5,704.00",-,"253,452.00","115,342.50",184000,-5,male,Industrials,Boston,Massachusetts,2021
39,State Farm Insurance,"78,898.00",-0.6,"3,738.90",-33.1,"299,104.50",-,57582,-3,male,Financials,Bloomington,Illinois,2021
40,Intel,"77,867.00",8.2,"20,899.00",-0.7,"153,091.00","260,630.10",110600,5,male,Technology,Santa Clara,California,2021
41,Humana,"77,155.00",18.9,"3,367.00",24.4,"34,969.00","54,087.70",48700,11,male,Health Care,Louisville,Kentucky,2021
42,IBM,"73,620.00",-4.6,"5,590.00",-40.7,"155,971.00","119,080.30",364800,-4,male,Technology,Armonk,New York,2021
43,Procter & Gamble,"70,950.00",4.8,"13,027.00",234.3,"120,700.00","333,493.10",99000,7,male,Household Products,Cincinnati,Ohio,2021
44,PepsiCo,"70,372.00",4.8,"7,120.00",-2.7,"92,918.00","195,207.70",291000,7,male,"Food, Beverages & Tobacco",Harrison,New York,2021
45,FedEx,"69,217.00",-0.7,"1,286.00",138.1,"73,537.00","75,367.80",418000,2,male,Transportation,Memphis,Tennessee,2021
46,MetLife,"67,842.00",-2.6,"5,407.00",-8.3,"795,146.00","53,762.60",46500,2,male,Financials,New York City,New York,2021
47,Freddie Mac,"66,228.00",-11.8,"7,326.00",1.6,"2,627,415.00","1,332.60",6922,-6,male,Financials,McLean,Virginia,2021
48,Phillips 66,"65,494.00",-40.2,"-3,975.00",-229.2,"54,721.00","35,703.60",14300,-21,male,Energy,Houston,Texas,2021
49,Lockheed Martin,"65,398.00",9.3,"6,833.00",9.7,"50,710.00","102,984.20",114000,8,male,Aerospace & Defense,Bethesda,Maryland,2021
50,Walt Disney,"65,388.00",-6,"-2,864.00",-125.9,"201,549.00","334,952.50",203000,-1,male,Media,Burbank,California,2021
51,Archer Daniels Midland,"64,355.00",-0.5,"1,772.00",28.5,"49,719.00","31,834.50",38332,3,male,"Food, Beverages & Tobacco",Chicago,Illinois,2021
52,Albertsons,"62,455.10",3.2,466.40,255.8,"24,735.10","8,877.70",270000,3,male,Food & Drug Stores,Boise,Idaho,2021
53,Valero Energy,"60,115.00",-41.5,"-1,421.00",-158.7,"51,774.00","29,267.20",9964,-21,male,Energy,San Antonio,Texas,2021
54,Boeing,"58,158.00",-24,"-11,873.00",-,"152,136.00","148,664.80",141000,-14,male,Aerospace & Defense,Chicago,Illinois,2021
55,Prudential Financial (U.S.),"57,033.00",-12,-374.00,-108.9,"940,722.00","36,022.40",41671,-2,male,Financials,Newark,New Jersey,2021
56,HP,"56,639.00",-3.6,"2,844.00",-9.8,"34,681.00","39,579.50",53000,2,male,Technology,Palo Alto,California,2021
57,Raytheon Technologies,"56,587.00",-26.6,"-3,519.00",-163.6,"162,153.00","117,143.90",181000,-18,male,Aerospace & Defense,Waltham,Massachusetts,2021
58,StoneX Group,"54,139.60",64.6,169.60,99.3,"13,474.90","1,284.40",2950,42,male,Financials,New York City,New York,2021
59,Goldman Sachs Group,"53,498.00",-0.8,"9,459.00",11.7,"1,163,028.00","116,903.00",40500,1,male,Financials,New York City,New York,2021
60,Sysco,"52,893.30",-12,215.50,-87.1,"22,628.30","40,189.80",57000,-4,male,Wholesalers,Houston,Texas,2021
61,Morgan Stanley,"52,047.00",-3.3,"10,996.00",21.6,"1,115,862.00","146,161.90",68097,-,male,Financials,New York City,New York,2021
62,HCA Healthcare,"51,533.00",0.4,"3,754.00",7.1,"47,490.00","63,458.70",235000,3,male,Health Care,Nashville,Tennessee,2021
63,Cisco Systems,"49,301.00",-5,"11,214.00",-3.5,"94,853.00","218,308.50",77500,-,male,Technology,San Jose,California,2021
64,Charter Communications,"48,097.00",5.1,"3,222.00",93.2,"144,206.00","128,965.70",96100,7,male,Technology,Stamford,Connecticut,2021
65,Merck,"47,994.00",2.5,"7,067.00",-28.2,"91,588.00","195,062.00",73500,4,male,Health Care,Kenilworth,New Jersey,2021
66,Best Buy,"47,262.00",8.3,"1,798.00",16.7,"19,067.00","28,707.70",81600,9,female,Retailing,Richfield,Minnesota,2021
67,New York Life Insurance,"46,712.40",5.9,-822.30,-181.9,"359,312.50",-,11506,6,male,Financials,New York City,New York,2021
68,AbbVie,"45,804.00",37.7,"4,616.00",-41.4,"150,565.00","190,989.40",47000,31,male,Health Care,North Chicago,Illinois,2021
69,Publix Super Markets,"45,204.00",17.5,"3,971.80",32.2,"28,094.10",-,227000,18,male,Food & Drug Stores,Lakeland,Florida,2021
70,Allstate,"44,791.00",0.3,"5,576.00",15,"125,987.00","34,800.20",42010,2,male,Financials,Northbrook,Illinois,2021
71,Liberty Mutual Insurance Group,"43,796.00",1.3,758.00,-27.4,"145,377.00",-,45000,6,male,Financials,Boston,Massachusetts,2021
72,American International Group,"43,736.00",-12.1,"-5,944.00",-277.5,"586,481.00","39,848.90",45000,-6,male,Financials,New York City,New York,2021
73,Tyson Foods,"43,185.00",1.8,"2,061.00",4.1,"34,456.00","27,099.60",139000,6,male,"Food, Beverages & Tobacco",Springdale,Arkansas,2021
74,Progressive,"42,658.10",9.3,"5,704.60",43.7,"64,098.30","55,946.50",43326,12,female,Financials,Mayfield Village,Ohio,2021
75,Bristol-Myers Squibb,"42,518.00",62.6,"-9,015.00",-362.1,"118,481.00","141,027.90",30250,40,male,Health Care,New York City,New York,2021
76,Nationwide,"41,929.80",-4.7,-138.40,-116.7,"256,589.30",-,25391,-2,male,Financials,Columbus,Ohio,2021
77,Pfizer,"41,908.00",-19,"9,616.00",-40.9,"154,229.00","202,096.90",78500,-13,male,Health Care,New York City,New York,2021
78,Caterpillar,"41,748.00",-22.4,"2,998.00",-50.8,"78,324.00","126,439.60",97300,-16,male,Industrials,Deerfield,Illinois,2021
79,TIAA,"41,619.30",2.9,558.10,-77.3,"654,252.00",-,14953,2,female,Financials,New York City,New York,2021
80,Oracle,"39,068.00",-1.1,"10,135.00",-8.6,"115,438.00","202,337.70",135000,2,female,Technology,Redwood City,California,2021
81,Energy Transfer,"38,954.00",-28.1,-648.00,-118,"95,144.00","20,754.70",11421,-22,male,Energy,Dallas,Texas,2021
82,Dow,"38,542.00",-10.3,"1,225.00",-,"61,470.00","47,649.70",35700,-4,male,Chemicals,Midland,Michigan,2021
83,American Express,"38,185.00",-18.8,"3,135.00",-53.6,"191,367.00","113,635.80",63700,-16,male,Financials,New York City,New York,2021
84,General Dynamics,"37,925.00",-3.6,"3,167.00",-9.1,"51,308.00","51,481.90",100700,-1,female,Aerospace & Defense,Reston,Virginia,2021
85,Nike,"37,403.00",-4.4,"2,539.00",-37,"31,342.00","209,499.80",75400,-,male,Apparel,Beaverton,Oregon,2021
86,Northrop Grumman,"36,799.00",8.7,"3,189.00",41.9,"44,469.00","53,956.70",97000,10,female,Aerospace & Defense,Falls Church,Virginia,2021
87,USAA,"36,296.20",1.9,"3,906.90",-2.5,"200,348.40",-,35935,7,male,Financials,San Antonio,Texas,2021
88,Deere,"35,540.00",-9.5,"2,751.00",-15.4,"75,091.00","117,270.00",69634,-4,male,Industrials,Moline,Illinois,2021
89,Abbott Laboratories,"34,608.00",8.5,"4,495.00",21.9,"72,548.00","212,300.10",109000,15,male,Health Care,North Chicago,Illinois,2021
90,Northwestern Mutual,"33,782.10",4.6,425.00,-66.5,"308,767.00",-,6641,12,male,Financials,Milwaukee,Wisconsin,2021
91,Dollar General,"33,746.80",21.6,"2,655.10",55,"25,862.60","48,479.70",158000,21,male,Retailing,Goodlettsville,Tennessee,2021
92,Exelon,"33,039.00",-4.1,"1,963.00",-33.1,"129,317.00","42,723.50",32340,3,male,Energy,Chicago,Illinois,2021
93,Coca-Cola,"33,014.00",-11.4,"7,747.00",-13.2,"87,296.00","227,143.80",80300,-5,male,"Food, Beverages & Tobacco",Atlanta,Georgia,2021
94,Honeywell International,"32,637.00",-11.1,"4,779.00",-22.2,"64,586.00","150,972.40",103000,-2,male,Industrials,Charlotte,North Carolina,2021
95,Thermo Fisher Scientific,"32,218.00",26.1,"6,375.00",72.5,"69,052.00","179,719.40",84362,24,male,Technology,Waltham,Massachusetts,2021
96,3M,"32,184.00",0.1,"5,384.00",17.8,"47,344.00","111,642.10",94987,7,male,Chemicals,Maplewood,Minnesota,2021
97,TJX,"32,137.00",-23,90.50,-97.2,"30,813.60","79,774.90",320000,-17,male,Retailing,Framingham,Massachusetts,2021
98,Travelers,"31,981.00",1.3,"2,697.00",2.9,"116,764.00","37,933.00",30294,8,male,Financials,Hartford,Connecticut,2021
99,Capital One Financial,"31,643.00",-6.3,"2,714.00",-51.1,"421,602.00","58,097.00",51985,-2,male,Financials,McLean,Virginia,2021
100,Tesla,"31,536.00",28.3,721.00,-,"52,148.00","641,115.00",70757,24,male,Motor Vehicles & Parts,Palo Alto,California,2021
101,Philip Morris International,"28,694.00",-3.7,"8,056.00",12.1,"44,815.00","138,302.40",71000,6,male,"Food, Beverages & Tobacco",New York City,New York,2021
102,Arrow Electronics,"28,673.40",-0.8,584.40,-,"17,053.90","8,267.50",19600,8,male,Wholesalers,Centennial,Colorado,2021
103,CHS,"28,406.40",-11,422.40,-49.1,"15,993.90",-,10493,2,male,"Food, Beverages & Tobacco",Inver Grove Heights,Minnesota,2021
104,Jabil,"27,266.40",7.8,53.90,-81.2,"14,397.40","7,833.20",240000,17,male,Technology,St. Petersburg,Florida,2021
105,Enterprise Products Partners,"27,199.70",-17,"3,775.60",-17.8,"64,106.70","48,038.80",7130,-4,male,Energy,Houston,Texas,2021
106,Hewlett Packard Enterprise,"26,982.00",-7.4,-322.00,-130.7,"54,015.00","20,480.00",59400,3,male,Technology,San Jose,California,2021
107,United Natural Foods,"26,742.80",13.9,-274.10,-,"7,587.00","1,854.40",28300,26,male,Wholesalers,Providence,Rhode Island,2021
108,Mondelēz International,"26,581.00",2.8,"3,555.00",-8.1,"67,810.00","82,651.10",79000,9,male,"Food, Beverages & Tobacco",Chicago,Illinois,2021
109,Paramount Global,"26,186.00",-5.8,"2,422.00",-26.8,"52,663.00","28,853.20",24225,2,male,Media,New York City,New York,2021
110,Kraft Heinz,"26,185.00",4.8,356.00,-81.6,"99,830.00","48,924.70",38000,12,male,"Food, Beverages & Tobacco",Chicago,Illinois,2021
111,Dollar Tree,"25,509.30",8,"1,341.90",62.3,"20,696.00","26,717.40",129772,20,male,Retailing,Chesapeake,Virginia,2021
112,Amgen,"25,424.00",8.8,"7,264.00",-7.4,"62,948.00","143,704.30",24300,23,male,Health Care,Thousand Oaks,California,2021
113,U.S. Bancorp,"25,241.00",-7.6,"4,959.00",-28.3,"553,905.00","83,107.40",68108,-,male,Financials,Minneapolis,Minnesota,2021
114,Performance Food Group,"25,086.30",27.1,-114.10,-168.4,"7,719.70","7,705.30",20000,54,male,Wholesalers,Richmond,Virginia,2021
115,Netflix,"24,996.10",24,"2,761.40",47.9,"39,280.40","231,040.70",9400,49,male,Media,Los Gatos,California,2021
116,Gilead Sciences,"24,689.00",10,123.00,-97.7,"68,407.00","81,372.80",13600,24,male,Health Care,Foster City,California,2021
117,TD Synnex,"24,675.60",3.9,529.20,5.7,"13,468.60","5,874.50",277900,13,male,Wholesalers,San Jose,California,2021
118,Eli Lilly,"24,539.80",9.9,"6,193.70",-25.5,"46,633.10","179,158.90",35000,27,male,Health Care,Indianapolis,Indiana,2021
119,Truist Financial,"24,427.00",66.6,"4,482.00",39,"509,228.00","78,408.50",53638,98,male,Financials,Charlotte,North Carolina,2021
120,PNC Financial Services Group,"24,039.00",11.2,"7,517.00",40,"466,679.00","74,377.40",50403,31,male,Financials,Pittsburgh,Pennsylvania,2021
121,Broadcom,"23,888.00",5.7,"2,960.00",8.7,"75,933.00","189,313.50",21000,17,male,Technology,San Jose,California,2021
122,CBRE Group,"23,826.20",-0.3,752.00,-41.4,"18,039.10","26,549.10",100000,6,male,Financials,Los Angeles,California,2021
123,Massachusetts Mutual Life,"23,663.10",-36.5,-100.50,-102.7,"322,936.30",-,9974,-34,male,Financials,Springfield,Massachusetts,2021
124,Qualcomm,"23,531.00",-3.1,"5,198.00",18.5,"35,594.00","150,622.20",41000,2,male,Technology,San Diego,California,2021
125,Starbucks,"23,518.00",-11.3,928.30,-74.2,"29,374.50","128,643.60",349000,-11,male,"Hotels, Restaurants & Leisure",Seattle,Washington,2021
126,Duke Energy,"23,453.00",-4.9,"1,377.00",-63.3,"162,388.00","74,252.50",27535,-3,female,Energy,Charlotte,North Carolina,2021
127,Plains GP Holdings,"23,290.00",-30.8,-568.00,-271.6,"25,951.00","1,824.50",4400,-29,male,Energy,Houston,Texas,2021
128,US Foods Holding,"22,885.00",-11.8,-226.00,-158.7,"12,423.00","8,427.50",26000,-12,male,Wholesalers,Rosemont,Illinois,2021
129,Lennar,"22,488.90",1,"2,465.00",33.3,"29,935.20","30,893.20",9495,18,male,Engineering & Construction,Miami,Florida,2021
130,Danaher,"22,284.00",8.6,"3,646.00",21.2,"76,161.00","160,497.20",69000,31,male,Health Care,Washington D.C.,District of Columbia,2021
131,Aflac,"22,147.00",-0.7,"4,778.00",44.6,"165,086.00","35,191.40",12003,15,male,Financials,Columbus,Georgia,2021
132,Rite Aid,"21,928.40",1.2,-452.20,-,"9,452.40","1,129.90",39920,18,female,Food & Drug Stores,Camp Hill,Pennsylvania,2021
133,Visa,"21,846.00",-4.9,"10,866.00",-10,"80,919.00","452,525.40",20500,4,male,Business Services,Foster City,California,2021
134,PayPal Holdings,"21,454.00",20.7,"4,202.00",70.9,"70,379.00","284,408.30",26500,48,male,Business Services,San Jose,California,2021
135,Micron Technology,"21,435.00",-8.4,"2,687.00",-57.4,"53,678.00","98,678.00",40000,-1,male,Technology,Boise,Idaho,2021
136,CarMax,"21,424.10",11.9,888.40,5.5,"21,082.20","21,562.70",27050,37,male,Retailing,Richmond,Virginia,2021
137,Salesforce,"21,252.00",24.3,"4,072.00",3131.7,"66,301.00","195,132.30",56606,53,male,Technology,San Francisco,California,2021
138,Altria Group,"20,841.00",5.3,"4,467.00",-,"47,414.00","95,090.60",7100,29,male,"Food, Beverages & Tobacco",Richmond,Virginia,2021
139,Lumen Technologies,"20,712.00",-7.5,"-1,232.00",-,"59,394.00","14,642.90",39000,4,male,Technology,Broomfield,Colorado,2021
140,Baker Hughes,"20,705.00",-13.1,"-9,940.00",-7865.6,"38,007.00","22,494.80",55000,-11,male,Energy,Houston,Texas,2021
141,International Paper,"20,580.00",-8,482.00,-60.7,"31,718.00","21,240.60",49300,3,male,Materials,Memphis,Tennessee,2021
142,Hartford Financial Services Group,"20,523.00",-1,"1,737.00",-16.7,"74,111.00","23,863.30",18500,18,male,Financials,Hartford,Connecticut,2021
143,Penske Automotive Group,"20,443.90",-11.8,543.60,24.7,"13,247.20","6,485.50",23600,-7,male,Retailing,Bloomfield Hills,Michigan,2021
144,DuPont,"20,397.00",-5.2,"-2,951.00",-692.6,"70,904.00","41,308.10",34000,8,male,Chemicals,Wilmington,Delaware,2021
145,AutoNation,"20,390.00",-4.4,381.60,-15.2,"9,887.20","7,683.20",21600,9,male,Retailing,Fort Lauderdale,Florida,2021
146,Southern,"20,375.00",-4.9,"3,119.00",-34.2,"122,935.00","65,678.90",27700,7,male,Energy,Atlanta,Georgia,2021
147,World Fuel Services,"20,358.30",-44.7,109.60,-38.7,"4,500.30","2,222.00",4300,-56,male,Energy,Miami,Florida,2021
148,D.R. Horton,"20,311.10",15.5,"2,373.70",46.7,"18,912.30","32,413.10",9716,35,male,Engineering & Construction,Arlington,Texas,2021
149,Nucor,"20,139.70",-10.8,721.50,-43.2,"20,125.40","23,975.70",26400,-10,male,Materials,Charlotte,North Carolina,2021
150,Cummins,"19,811.00",-16,"1,789.00",-20.8,"22,624.00","37,971.10",57825,-18,male,Industrials,Columbus,Indiana,2021
151,NGL Energy Partners,"19,770.90",-17.9,-397.00,-210.3,"6,498.70",263.50,1400,-24,male,Energy,Tulsa,Oklahoma,2021
152,DXC Technology,"19,577.00",-7.6,"-5,369.00",-527.1,"26,006.00","7,958.60",138000,3,male,Technology,Tysons,Virginia,2021
153,Union Pacific,"19,533.00",-10,"5,349.00",-9.6,"62,398.00","146,948.30",30960,-4,male,Transportation,Omaha,Nebraska,2021
154,Whirlpool,"19,456.00",-4.7,"1,081.00",-8.7,"20,350.00","13,831.70",78000,8,male,Industrials,Benton Harbor,Michigan,2021
155,Molina Healthcare,"19,423.00",15.4,673.00,-8.7,"9,532.00","13,647.30",10500,38,male,Health Care,Long Beach,California,2021
156,ConocoPhillips,"19,256.00",-47.5,"-2,701.00",-137.6,"62,618.00","71,623.40",9700,-63,male,Energy,Houston,Texas,2021
157,McDonald's,"19,207.80",-8.9,"4,730.50",-21.5,"52,626.80","167,112.50",200000,-1,male,"Hotels, Restaurants & Leisure",Chicago,Illinois,2021
158,Kimberly-Clark,"19,140.00",3.7,"2,352.00",9,"17,523.00","46,999.80",46000,17,male,Household Products,Irving,Texas,2021
159,Paccar,"18,728.50",-26.8,"1,298.40",-45.6,"28,260.00","32,255.80",26000,-41,male,Industrials,Bellevue,Washington,2021
160,PG&E,"18,469.00",7.8,"-1,318.00",-,"97,856.00","23,240.60",24000,29,female,Energy,San Francisco,California,2021
161,CDW,"18,467.50",2.4,788.50,7,"9,344.70","23,291.80",10000,17,female,Technology,Lincolnshire,Illinois,2021
162,Sherwin-Williams,"18,361.70",2.6,"2,030.40",31.7,"20,401.60","65,837.30",61031,18,male,Chemicals,Cleveland,Ohio,2021
163,L3Harris Technologies,"18,194.00",41.5,"1,119.00",-16.1,"36,960.00","41,664.10",48000,87,male,Aerospace & Defense,Melbourne,Florida,2021
164,Macy's,"18,097.00",-28.6,"-3,944.00",-799.3,"17,706.00","5,028.10",75711,-44,male,Retailing,Cincinnati,Ohio,2021
165,ManpowerGroup,"18,001.00",-13.7,23.80,-94.9,"9,328.20","5,434.20",25000,-7,male,Business Services,Milwaukee,Wisconsin,2021
166,NextEra Energy,"17,997.00",-6.3,"2,919.00",-22.6,"127,684.00","148,304.90",14900,6,male,Energy,Juno Beach,Florida,2021
167,Tenet Healthcare,"17,640.00",-4.5,399.00,-,"27,106.00","5,536.50",97900,7,male,Health Care,Dallas,Texas,2021
168,Avnet,"17,634.30",-9.7,-31.10,-117.6,"8,105.20","4,128.40",14600,1,male,Wholesalers,Phoenix,Arizona,2021
169,General Mills,"17,626.60",4.5,"2,181.20",24.4,"30,806.70","37,403.40",35000,23,male,"Food, Beverages & Tobacco",Minneapolis,Minnesota,2021
170,WestRock,"17,578.80",-3.9,-690.90,-180.1,"28,779.70","13,716.10",49300,7,male,Materials,Atlanta,Georgia,2021
171,Carrier Global,"17,456.00",-,"1,982.00",-,"25,093.00","36,701.10",56000,-,male,Industrials,Palm Beach Gardens,Florida,2021
172,Lincoln National,"17,439.00",1,499.00,-43.7,"365,948.00","11,953.20",10966,16,male,Financials,Radnor,Pennsylvania,2021
173,Genuine Parts,"17,384.40",-10.4,-29.10,-104.7,"13,440.20","16,691.80",50000,-2,male,Wholesalers,Atlanta,Georgia,2021
174,American Airlines Group,"17,337.00",-62.1,"-8,885.00",-627,"62,008.00","15,328.80",102700,-104,male,Transportation,Fort Worth,Texas,2021
175,Marsh & McLennan,"17,224.00",3.4,"2,016.00",15.7,"33,049.00","62,054.90",76000,20,male,Financials,New York,New York,2021
176,Applied Materials,"17,202.00",17.8,"3,619.00",33.7,"22,353.00","122,599.50",24000,42,male,Technology,Santa Clara,California,2021
177,Becton Dickinson,"17,117.00",-1,874.00,-29.1,"54,012.00","70,649.70",72000,10,male,Health Care,Franklin Lakes,New Jersey,2021
178,Delta Air Lines,"17,095.00",-63.6,"-12,385.00",-359.8,"71,996.00","30,809.70",74000,-110,male,Transportation,Atlanta,Georgia,2021
179,Lear,"17,045.50",-14,158.50,-79,"13,198.60","10,895.80",174600,-13,male,Motor Vehicles & Parts,Southfield,Michigan,2021
180,Bank of New York Mellon,"16,940.00",-18.6,"3,617.00",-18.6,"469,633.00","41,471.00",48500,-21,male,Financials,New York,New York,2021
181,Emerson Electric,"16,785.00",-8.6,"1,965.00",-14.8,"22,882.00","54,134.70",83500,-5,male,Industrials,St. Louis,Missouri,2021
182,Western Digital,"16,736.00",1,-250.00,-,"25,662.00","20,432.00",63800,16,male,Technology,San Jose,California,2021
183,Occidental Petroleum,"16,680.00",-24.1,"-14,831.00",-,"80,064.00","24,848.70",11800,-35,female,Energy,Houston,Texas,2021
184,Nvidia,"16,675.00",52.7,"4,332.00",54.9,"28,791.00","331,036.60",18975,108,male,Technology,Santa Clara,California,2021
185,Cognizant Technology Solutions,"16,652.00",-0.8,"1,392.00",-24.4,"16,923.00","41,451.60",289500,9,male,Technology,Teaneck,New Jersey,2021
186,Jones Lang LaSalle (JLL),"16,589.90",-7.7,402.50,-24.8,"14,316.50","9,150.90",90800,-7,male,Financials,Chicago,Illinois,2021
187,Synchrony Financial,"16,472.00",-15.4,"1,385.00",-63,"95,948.00","23,740.60",16500,-17,male,Financials,Stamford,Connecticut,2021
188,Colgate-Palmolive,"16,471.00",5,"2,695.00",13.9,"15,920.00","66,810.30",34200,15,male,Household Products,New York,New York,2021
189,AECOM,"16,390.80",-18.8,-186.40,-,"12,999.00","9,469.80",54000,-26,male,Engineering & Construction,Los Angeles,California,2021
190,XPO Logistics,"16,252.00",-2.4,110.00,-73.7,"16,169.00","12,601.70",119750,6,male,Transportation,Greenwich,Connecticut,2021
191,C.H. Robinson Worldwide,"16,207.10",5.9,506.40,-12.2,"5,144.30","12,514.90",14888,17,male,Transportation,Eden Prairie,Minnesota,2021
192,BlackRock,"16,205.00",11.5,"4,932.00",10.2,"176,982.00","115,079.80",16500,27,male,Financials,New York,New York,2021
193,Dominion Energy,"16,128.00",-2.7,-401.00,-129.5,"95,905.00","61,224.00",17300,4,male,Energy,Richmond,Virginia,2021
194,Rocket Companies,"15,980.70",204.3,198.00,-,"37,534.60","45,821.00",24000,-,male,Financials,Detroit,Michigan,2021
195,Kohl's,"15,955.00",-20.1,-163.00,-123.6,"15,337.00","9,394.10",73000,-30,female,Retailing,Menomonee Falls,Wisconsin,2021
